Resource	Resource ShortName	Dataset	Description	Evidence	Evidence Category	Measurement Bias	Association	Biological Entities	Biological Entity Category	Category	Attribute	IDG-Reactome Category	Included in Reactome-IDG	Notes
Phosphosite Textmining		Biological Term Annotations	occurrence frequencies for biological terms in abstracts of publications describing phosphosites	association by text-mining	automated text-mining	"low throughput, hypothesis driven"	protein-biological term associations by occurrence of biological term in abstracts of publications describing phosphosite on protein	biological terms	"functional term, phrase or reference"	structural or functional annotations	biological term	association	true	
PhosphoSitePlus		Phosphosite-Disease Associations	disease-phosphosite associations curated from literature	association by literature curation	curated liteature	"low throughput, hypothesis driven"	protein-disease associations where mutation of phosphosite on protein is implicated in disease	diseases	"disease, phenotype or trait"	disease or phenotype associations	disease	association	true	
PhosphoSitePlus		Substrates of Kinases	kinase-substrate interactions curated from low-throughput or high-throughput phosphoproteomics studies	association by data aggregation	curated experiemental data	mixed	substrate-kinase associations from low-throughput or high-throughput phosphoproteomics data	kinases	"gene, protein or microRNA"	physical interactions	kinase	interaction-curated-htp	true	
Proteomics Database	ProteomicsDB	Cell Type and Tissue Protein Expression Profiles	protein expression profiles for tissues and cell types reprocessed from many proteomics datasets	protein expression by mass spectrometry	curated experiemental data	"high throughput, data driven"	protein-cell type or tissue associations by differential expression of protein across tissues and cell types	cell types and tissues	"cell line, cell type or tissue"	proteomics	cell type or tissue	association	true	
Reactome		Pathways	sets of proteins participating in pathways	association by literature curation	curated liteature	"low throughput, hypothesis driven"	protein-pathway associations from curated pathways	pathways	"functional term, phrase or reference"	structural or functional annotations	pathway	association	false	
Roadmap Epigenomics		Cell and Tissue DNA Accessibility Profiles	DNA accessibility profiles for primary cell types and tissues	DNA accessibility by DNase-seq	primary experimental data	"high throughput, data driven"	gene-cell type or tissue associations by differential accessibility of gene across cell types and tissues	cell types and tissues	"cell line, cell type or tissue"	genomics	cell type or tissue	association	true	
Roadmap Epigenomics		Cell and Tissue DNA Methylation Profiles	DNA methylation profiles for primary cell types and tissues	"DNA methylation by bisulfite sequencing, MeDIP-seq, or MRE- seq"	primary experimental data	"high throughput, data driven"	gene-cell type or tissue associations by differential methylation of gene across cell types and tissues	cell types and tissues	"cell line, cell type or tissue"	genomics	cell type or tissue	association	true	
Roadmap Epigenomics		Histone Modification Site Profiles	histone modification profiles for primary cells and tissues	histone DNA-binding by ChIP-seq	primary experimental data	"high throughput, data driven"	gene-histone modification site profile associations by modification of histone near gene in cell or tissue	histone modification site profiles	molecular profile	genomics	histone modification site profile	association	true	
Roadmap Epigenomics		Cell and Tissue Gene Expression Profiles	mRNA expression profiles for primary cell types and tissues	gene expression by RNA-seq	primary experimental data	"high throughput, data driven"	gene-cell type or tissue associations by differential expression of gene across cell types and tissues	cell types and tissues	"cell line, cell type or tissue"	transcriptomics	cell type or tissue	association	false	
SILAC Phosphoproteomics		Signatures of Differentially Phosphorylated Proteins for Drugs	phosphorylation levels of proteins in cell lines following drug treatment	protein phosphorylation by SILAC	curated experiemental data	"high throughput, data driven"	protein-drug associations by differential phosphorylation of protein following treatment of cells with drug	disease perturbations	chemical	proteomics	drug perturbation	association	true	
SILAC Phosphoproteomics		Signatures of Differentially Phosphorylated Proteins for Gene Perturbations	"phosphorylation levels of proteins in cell lines following genetic perturbation (knockdown, knockout, over-expression, mutation)"	protein phosphorylation by SILAC	curated experiemental data	"high throughput, data driven"	protein-gene associations by differential phosphorylation of protein following genetic perturbation of cells	gene perturbations	"gene, protein or microRNA"	proteomics	gene perturbation	association	true	
SILAC Phosphoproteomics		Signatures of Differentially Phosphorylated Proteins for Protein Ligands	phosphorylation levels of proteins in cell lines following ligand treatment	protein phosphorylation by SILAC	curated experiemental data	"high throughput, data driven"	protein-ligand (protein) associations by differential phosphorylation of protein following treatment of cells with ligand	ligand (protein) perturbations	"gene, protein or microRNA"	proteomics	ligand (protein) perturbation	association	true	
TargetScan		Predicted Conserved microRNA Targets	target genes of microRNAs predicted by searching genes for sites matching conserved miRNA seed regions	association by computational motif search	computational model	"high throughput, data driven"	target gene- microRNA associations predicted using conserved miRNA seed sequences	microRNAs	"gene, protein or microRNA"	genomics	microRNA	interaction-htp	false	
TargetScan		Predicted Nonconserved microRNA Targets	target genes of microRNAs predicted by searching genes for sites matching nonconserved miRNA seed regions	association by computational motif search	computational model	"high throughput, data driven"	target gene- microRNA associations predicted using nonconserved miRNA seed sequences	microRNAs	"gene, protein or microRNA"	genomics	microRNA	interaction-htp	false	
The Cancer Genome Atlas	TCGA	Signatures of Differentially Expressed Genes for Tumors	mRNA expression profiles for tumor and normal tissue samples	gene expression by RNA-seq	primary experimental data	"high throughput, data driven"	gene-tissue sample associations by differential expression of gene across tissue samples	tissue samples	"cell line, cell type or tissue"	transcriptomics	tissue sample	association	false	Co-expression is preferred
TISSUES		Experimental Tissue Protein Expression Evidence Scores	protein tissue expression evidence scores by integrating experimental data	association by data aggregation	curated experiemental data	mixed	protein-tissue associations by integrating evidence from experimental studies	tissues	"cell line, cell type or tissue"	proteomics	tissue	association	true	
TISSUES		Curated Tissue Protein Expression Evidence Scores	protein tissue expression evidence scores by manual literature curation	association by literature curation	curated liteature	"low throughput, hypothesis driven"	protein-tissue associations by integrating evidence from manual literature curation	tissues	"cell line, cell type or tissue"	structural or functional annotations	tissue	association	true	
TISSUES		Text-mining Tissue Protein Expression Evidence Scores	gene-tissue co-occurrence scores from text-mining biomedical abstracts	association by text-mining	automated text-mining	"low throughput, hypothesis driven"	protein-tissue associations from automated text- mining of biomedical literature	tissues	"cell line, cell type or tissue"	structural or functional annotations	tissue	association	true	
TRANSFAC		Curated Transcription Factor Targets	target genes of transcription factors manually curated from low-throughput or high-throughput transcription factor functional studies	association by data aggregation	curated experiemental data	mixed	target gene- transcription factor associations from low-throughput or high-throughput transcription factor functional studies	transcription factors	"gene, protein or microRNA"	genomics	transcription factor	interaction-curated-htp	true	
TRANSFAC		Predicted Transcription Factor Targets	target genes of transcription factors predicted using known transcription factor binding site motifs	association by computational motif search	computational model	"high throughput, data driven"	target gene- transcription factor associations predicted using known transcription factor binding site motifs	transcription factors	"gene, protein or microRNA"	genomics	transcription factor	interaction-htp	true	
Virus MINT		Protein-Viral Protein Interactions	interactions between viral and human proteins manually curated from literature	association by literature curation	curated liteature	"low throughput, hypothesis driven"	protein-viral protein associations from curated protein interaction studies	viral proteins	"gene, protein or microRNA"	physical interactions	viral protein	interaction-curated	false	
Virus MINT		Protein-Virus Interactions	interactions between viruses and human proteins manually curated from literature	association by literature curation	curated liteature	"low throughput, hypothesis driven"	protein-viral protein associations from curated protein interaction studies	viruses	organism	physical interactions	virus	association	false	check the meaning of the gene correlation in this dataset
Wikipathways		Pathways	sets of proteins participating in pathways	association by literature curation	curated liteature	"low throughput, hypothesis driven"	protein-pathway associations from curated pathways	pathways	"functional term, phrase or reference"	structural or functional annotations	pathway	interaction-curated	false	
